Experiment,Model,Val RMSE,Val MAE,Val R2,Test RMSE,Test MAE,Test R2
IntraRegime_RC_Tuned,RF,2.174675514656319,1.1050730709365082,0.9068744824734216,5.596934619369989,1.734675461103187,0.42398307637134225
IntraRegime_RC_Tuned,GB,2.3137541414449125,1.2293364434514096,0.8945821418218536,4.041983121188403,1.6498905919937399,0.6995835103014248
IntraRegime_RC_Tuned,XGB,1.8927158382343863,1.1374288135159292,0.9294575396702021,4.913918028846582,1.7095357081488403,0.5559922087006819
IntraRegime_RC_Tuned,LR,1.7412782043688952,0.8870480030750166,0.9402942582777554,2.767536998505647,2.1397549222215333,0.8591614169541628
IntraRegime_RV_Tuned,RF,3.9114983926405618,3.1552328495985607,0.6875804774345636,2.387978990055865,1.5274874597053743,0.8713473907729274
IntraRegime_RV_Tuned,GB,4.754445866913762,2.9562521396088712,0.5384150224522617,3.3161690273133013,2.1012101346310357,0.7518976298494533
IntraRegime_RV_Tuned,XGB,2.3535456432866755,2.022754281292339,0.8868910157031245,3.036171694883448,1.947619132011675,0.7920254227953882
IntraRegime_RV_Tuned,LR,4.67499292373324,4.487133843043274,0.5537134814654912,7.599903589599098,5.079266016845915,-0.3030880486934695
IntraRegime_R2S_Tuned,RF,4.779460194780806,3.8678301381450124,0.5734992830546674,5.632655127091971,4.690463120305167,-0.28336862400233276
IntraRegime_R2S_Tuned,GB,4.414802032822414,3.851267829570303,0.6360979222244962,6.96225865239312,5.786297459979649,-0.9607643489518154
IntraRegime_R2S_Tuned,XGB,2.635080875799627,1.7276877427330746,0.8703567332672048,2.4440007872700455,1.8911159692548711,0.7583828386590357
IntraRegime_R2S_Tuned,LR,5.658505380381159,3.9996530107690287,0.402186753624457,7.078579381966267,6.217218399729668,-1.026829927394676
IntraRegime_R3S_Tuned,RF,5.620547680828646,4.503494593752296,0.027405815351465024,5.764320099353873,4.99419434005672,0.3014890802241462
IntraRegime_R3S_Tuned,GB,6.183219266969087,5.262171065269072,-0.17707379389930855,6.542673577921258,5.671503214195312,0.100113934091552
IntraRegime_R3S_Tuned,XGB,5.279869776543798,4.337780270832729,0.1417361548826409,4.366643185169142,3.7043026792066573,0.5991587281085493
IntraRegime_R3S_Tuned,LR,6.949964758729948,6.0163853268224985,-0.48709803748549785,5.304178467904934,5.246033701529358,0.4085564814764254
CrossRegime_TrainReg_TestRecomm_Tuned,RF,2.3119367680979392,1.4206282473999168,0.896400921916926,2.1501642832094574,1.460632719558191,0.9081614598752741
CrossRegime_TrainReg_TestRecomm_Tuned,GB,2.110224279970531,1.268934510165559,0.9136899797969569,2.058676168074752,1.59361332718941,0.9158105332628349
CrossRegime_TrainReg_TestRecomm_Tuned,XGB,1.788961105277489,1.1834224339581436,0.9379694282983669,1.9393041984712118,1.5406713593607433,0.9252908904713779
CrossRegime_TrainReg_TestRecomm_Tuned,LR,1.8414182363794247,1.305732036638504,0.9342782881993785,1.9320370879757385,1.4303787207440901,0.9258497528919507
CrossRegime_TrainRecomm_TestReg_Tuned,RF,2.2767199799800077,1.690518111964008,0.8910326829267705,3.363085150064948,2.033454331993443,0.7718602341909868
CrossRegime_TrainRecomm_TestReg_Tuned,GB,1.6192030975597205,1.1122033226433996,0.9448837486038051,3.9809270436340576,2.2807300144947456,0.680336020422134
CrossRegime_TrainRecomm_TestReg_Tuned,XGB,1.466163098874893,1.158640284342889,0.9548100781826236,2.931973808569082,1.9161905738116907,0.8266014595779474
CrossRegime_TrainRecomm_TestReg_Tuned,LR,0.9575983271461405,0.803144369483988,0.9807228077814532,4.037875916386478,2.0239035404481918,0.6711247413816396
